"","id","institutionCode","collectionCode","ownerInstitutionCode","basisOfRecord","occurrenceID","catalogNumber","otherCatalogNumbers","kingdom","phylum","class","order","family","scientificName","taxonID","scientificNameAuthorship","genus","specificEpithet","taxonRank","infraspecificEpithet","identifiedBy","dateIdentified","identificationReferences","identificationRemarks","taxonRemarks","identificationQualifier","typeStatus","recordedBy","recordedByID","associatedCollectors","recordNumber","eventDate","year","month","day","startDayOfYear","endDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","substrate","host","verbatimAttributes","fieldNumber","informationWithheld","dataGeneralizations","dynamicProperties","associatedTaxa","reproductiveCondition","establishmentMeans","cultivationStatus","lifeStage","sex","individualCount","samplingProtocol","samplingEffort","preparations","country","stateProvince","county","municipality","locality","locationRemarks","localitySecurity","localitySecurityReason","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","verbatimCoordinates","georeferencedBy","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimElevation","disposition","language","recordEnteredBy","modified","sourcePrimaryKey.dbpk","collId","recordId","references"
"161055","5507608","N/A","","","HumanObservation","","GR120843","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Psathyrellaceae","Psathyrella","17623","(Fr.) Quél.","Psathyrella","","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2002-05-02","2002","5","2","122","","Thu May 02 00:00:00 EST 2002","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","Growling Swallet","","0","","-42.683327","146.500002","","","-42.683327, 146.500002","","","","","","","","","","","","","","","2018-08-23 19:17:58","bb0780ba-1dfe-47d9-9cb4-28b36c9a4c56","105","urn:uuid:3e4d342d-6707-464d-907e-3530c151ac46","http://mycoportal.org/portal/collections/individual/index.php?occid=5507608"
"5516","970240","BPI","","","PreservedSpecimen","","BPI 159963","","Fungi","Fungi Incertae Sedis","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Ustilago cynodontis","556060","(Pass.) Henn.","Ustilago","cynodontis","","","Walker J.","","","","","","","Walker J.; Williams O. M.","","","","","","","","","","","","","inflorescence","Cynodon dactylon","","","","","","","","","","","","","","","","Australia","","","","Rydalmere, N. S. W. B. C. R. I.","","0","","","","","","","","","","","","","","","","","","","","","2017-07-15 13:45:20","BPI 159963","24","urn:uuid:6a6948dd-5cba-4555-9061-75c3ac519438","http://mycoportal.org/portal/collections/individual/index.php?occid=970240"
"82421","5425805","N/A","","","HumanObservation","","3220","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Physalacriaceae","Hymenopellis radicata","639425","(Relhan) R.H. Petersen","Hymenopellis","radicata","","","","","","","","","","Fungimap Recorder Number: 30","","","","1999-06-27","1999","6","27","178","","27/6/1999","Habitat: Substrate: Host: Further Comments:","","","","","","","","","","","","","","","","","","","Australia","Victoria","","","Organ Pipes NP : Jackson's Creek, S side 10m","","0","","-37.665","144.7686111111111","","","-37.665, 144.7686111111111","","","","","","","","","","","","","","","2018-08-23 19:17:58","52590926-a6ca-48fe-b423-41a87a4df9e9","105","urn:uuid:77ced4b7-7c46-40b2-bd3e-df7d833b8159","http://mycoportal.org/portal/collections/individual/index.php?occid=5425805"
"3912","3926657","TENN","TENN-F","","PreservedSpecimen","b6d0c901-b1bf-4af0-8a06-09fabbe73381","TENN-F-066427","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Bolbitiaceae","Descomyces","13748","Bougher & Castellano","Descomyces","","","","","","","","","","","P.B. Matheny","","","PBM3185","2009-05-19","2009","5","19","139","","5/19/2009","","","","","","","","","","","","","","","","","","","","Australia","New South Wales","","","Jervis Bay National Park, Hammerhead Point","","0","","-34.99222222","150.7741667","","","34°59'32""S 150°46'27""E","","","","","","","","","","","","","","MSG","2018-06-22 17:37:28","TENN-F-066427","7","urn:uuid:b6d0c901-b1bf-4af0-8a06-09fabbe73381","http://mycoportal.org/portal/collections/individual/index.php?occid=3926657"
"142430","5488211","N/A","","","HumanObservation","","GR136533","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Physalacriaceae","Flammulina velutipes","183451","(Curtis) Singer","Flammulina","velutipes","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2004-06-22","2004","6","22","174","","Tue Jun 22 00:00:00 EST 2004","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","Myrtle Forest","","0","","-42.866653","147.150008","","","-42.866653, 147.150008","","","","","","","","","","","","","","","2018-08-23 19:17:58","a25e90e0-ce5c-4828-8ead-68c2dd166ac2","105","urn:uuid:2368ea7d-7d74-48cd-bd89-4cd867ef12e0","http://mycoportal.org/portal/collections/individual/index.php?occid=5488211"
"152606","5498824","N/A","","","HumanObservation","","129206","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Mycenaceae","Mycena interrupta","185958","(Berk.) Sacc.","Mycena","interrupta","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2009-03-17","2009","3","17","76","","","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","","","0","","-42.866653","147.150008","","","","","","","","","","","","","","","","","","2018-08-23 19:17:58","afebbaef-162a-4543-b210-7f1efa9ce25b","105","urn:uuid:7a185233-c15c-4d39-a480-1ffa382c65f1","http://mycoportal.org/portal/collections/individual/index.php?occid=5498824"
"201558","5552940","N/A","","","HumanObservation","","35302","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Fistulinaceae","Fistulina hepatica","183425","(Schaeff.) With.","Fistulina","hepatica","","","","","","","","","","Fungimap Recorder Number: 1093","","","","2006-03-12","2006","3","12","71","","12/3/2006","Habitat: Substrate: Host: Further Comments:","","","","","","","","","","","","","","","","","","","Australia","Queensland","","","Between Natural Arch and Best of All Lookouts, just north of NSW - Qld border","","0","","-28.236944444444447","153.2497222222222","","10000","-28.236944444444447, 153.2497222222222","","","","","Located on map using description of location from the recorder.","","","","","","","","","","2018-08-23 19:17:58","f562ec2f-161a-4b5f-b5c6-de3a43b9bf9f","105","urn:uuid:c844ea8d-b35b-411a-8281-0089d7a86f61","http://mycoportal.org/portal/collections/individual/index.php?occid=5552940"
"41202","5382883","N/A","","","HumanObservation","","GR139589","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus angulatus","150589","(Peck) Redhead, Vilgalys & Moncalvo","Coprinellus","angulatus","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2005-03-21","2005","3","21","80","","Mon Mar 21 00:00:00 EST 2005","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","Warra SST","","0","","-43.099987","146.683338","","","-43.099987, 146.683338","","","","","","","","","","","","","","","2018-08-23 19:17:58","1b114605-1659-4f20-b0af-59ca114132ac","105","urn:uuid:d46f4bbd-f6b0-4542-a58e-935ba33eb67b","http://mycoportal.org/portal/collections/individual/index.php?occid=5382883"
"193012","5544069","N/A","","","HumanObservation","","127740","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Entolomataceae","Entoloma camarophyllus","181764","G.M. Gates & Noordel.","Entoloma","camarophyllus","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2007-06-09","2007","6","9","160","","","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","","","0","","-42.81666","146.649999","","","","","","","","","","","","","","","","","","2018-08-23 19:17:58","ea04f09d-82e0-4399-98aa-d5ba6eed49b7","105","urn:uuid:d61118ef-df5d-422a-9dd2-90482e5ede9f","http://mycoportal.org/portal/collections/individual/index.php?occid=5544069"
"96741","5440687","N/A","","","HumanObservation","","GR121811","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Russulales","Stereaceae","Stereum illudens","434841","Berk.","Stereum","illudens","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2002-05-28","2002","5","28","148","","Tue May 28 00:00:00 EST 2002","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","Mt. Field, Falls Loop","","0","","-42.683323","146.7","","","-42.683323, 146.7","","","","","","","","","","","","","","","2018-08-23 19:17:58","65759bc9-e454-4149-bdd0-71e7096d75c8","105","urn:uuid:430e0a18-674a-4296-a72d-72e5da9b6ef2","http://mycoportal.org/portal/collections/individual/index.php?occid=5440687"
