"","id","Sp_no","Species.name","LAT","LA2","LA3","LONG","LO2","LO3","LATDEC","LONGDET","latdec_fudged","londec_fudged","ALT","SGRIDS","PRCODE","STATE","VGR","LOCALITY","HABITAT","SUBSTRATE","HOSTgenus","HOSTsp","HOSTcname","DAY","MONTH","YEAR","date.comments","oldID","BATCH","PHOTO","SPECIMEN","Checked","Initial","date.checked","Basis...specimen","Basis...photo","PhotoID","Submitted.as","date.entered","DENTRY","SS","SH","SL","COMMENTS","COLL.NO","DET","HERB.NO","LITauth","LITbibl","AHC","recorded_by","Doubtful.record","Book.or.REF","REF.Number"
"29915",88801,486,486,43,6,0,146,41,0,43.099987,146.683338,0,0,"","LLG","1","TAS",NA,"Warra SST","","","","","",15,6,2004,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"51476",110813,147,147,42,52,0,147,9,0,42.866653,147.150008,0,0,"","LLG","1","TAS",NA,"Myrtle Forest","","","","","",12,7,2001,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"13203",71752,1578,1578,42,41,0,146,40,0,42.683321,146.666665,0,0,"","LLG","1","TAS",NA,"Lyrebird Walk","","","","","",31,3,2001,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"2950",13743,94,94,42,42,0,147,51,0,-42.7,147.85,NA,NA,"","LLU","","TAS",NA,"Wielangta Forest Reserve","rainforest remnant","","","","",6,6,2000,"","",4,"N","N",1,"","",NA,NA,NA,NA,"20/2/03","GE","S","",NA,"D. Ratkowsky & M. Gates",NA,NA,"",NA,NA,2,279,NA,NA,NA
"40706",99847,326,326,42,55,0,147,15,0,42.916656,147.250009,0,0,"","LLG","1","TAS",NA,"Mt. Wellington, S.E. Tracks","","","","","",24,6,2000,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"25035",83769,568,568,42,41,0,146,42,0,42.683323,146.7,0,0,"","LLG","1","TAS",NA,"Mt. Field, Falls Loop","","","","","",31,3,2001,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"24429",83152,573,573,42,12,0,145,56,0,42.19999,145.933339,0,0,"","LLG","1","TAS",NA,"Donaghys Hill","","","","","",30,4,2012,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"53959",113325,93,93,43,5,30,146,39,0,43.091659,146.65001,0,0,"","LLG","1","TAS",NA,"Warra Bird Track","","","","","",12,3,2009,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"28983",87813,493,493,42,41,0,146,30,0,42.683327,146.500002,0,0,"","LLG","1","TAS",NA,"Growling Swallet","","","","","",24,5,2008,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"57282",116843,64,64,42,41,0,146,42,0,42.683323,146.7,0,0,"","LLG","1","TAS",NA,"Mt. Field, Falls Loop","","","","","",2,9,1999,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
