"","Record.ID","Catalogue.Number","Taxon.Concept.GUID","Scientific.Name...original","Vernacular.name...original","Scientific.Name","Taxon.Rank","Vernacular.name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Data.Resource.ID","Data.Resource.Name","Institution.ID","Institution","Collection.ID","Collection","Licence","Institution.Code","Collection.Code","Locality","Latitude...original","Longitude...original","Geodetic.datum...original","Latitude","Longitude","Coordinate.Precision","Coordinate.Uncertainty.in.Metres","Country...parsed","State...parsed","Local.Government.Areas","IMCRA.4.Regions","IBRA.7.Regions","Maximum.elevation.in.meters","Minimum.elevation.in.meters","Minimum.depth.in.meters","Maximum.depth.in.meters","Individual.count","Collector","Year","Month","Day","Event.Date...parsed","Verbatim.event.date","Basis.Of.Record...original","Basis.Of.Record","Occurrence.status","Sex","Preparations","Outlier.for.layer","Taxonomic.Quality","Location.Quality"
"281477","88c4da4c-5609-49ba-9ba1-591205308e43","89573","80be81de-6f6e-43f6-aa13-61ce77dfcc2e","Mycena austrofilopes","","Mycena austrofilopes","species","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","Mycena austrofilopes","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Waterworks Reserve, Hobart",-42.899991,147.283332,"",-42.899991,147.283332,NA,NA,"Australia","Tasmania","Hobart (C)","","Tasmanian South East",NA,NA,NA,NA,"","From the records of G. Gates and D. Ratkowsky",2000,6,13,"2000-06-13","","Observation","HumanObservation","present","","","","true","false"
"484396","0de4954b-aa4a-4982-85a0-03d2c2c306ab","GR121456","NZOR-4-40133","Marasmius crinisequi","","Marasmius crinis-equi","species","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Marasmius","Marasmius crinis-equi","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Duckhole Lake",-43.366653,146.883332,"EPSG:4326",-43.366653,146.883332,NA,NA,"Australia","Tasmania","Huon Valley (M)","","Tasmanian Southern Ranges",NA,NA,NA,NA,"","From the records of G. Gates and D. Ratkowsky",2002,5,18,"2002-05-18","Sat May 18 00:00:00 EST 2002","HumanObservation","HumanObservation","present","","","","true","true"
"489209","01ca0734-65bc-493d-9576-4651cf5c1930","58925","92a4e5c4-32c1-44c6-a9f7-410659692dfa","Scleroderma cepa","","Scleroderma cepa","species","","Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Scleroderma","Scleroderma cepa","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Fortescue Bay",-43.149988,147.950009,"",-43.149988,147.950009,NA,NA,"Australia","Tasmania","Tasman (M)","","Tasmanian South East",NA,NA,NA,NA,"","From the records of G. Gates and D. Ratkowsky",2001,5,22,"2001-05-22","","Observation","HumanObservation","present","","","","true","true"
"206767","7b3ec1fd-626d-46e6-9def-4413cd79844d","127858","NZOR-4-132415","Rhizochaete filamentosa","","Rhizochaete filamentosa","species","","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Phanerochaetaceae","Rhizochaete","Rhizochaete filamentosa","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Ben Ridge Road forestry plots",-41.349991,147.666668,"",-41.349991,147.666668,NA,NA,"Australia","Tasmania","Dorset (M)","","Ben Lomond",NA,NA,NA,NA,"","From the records of G. Gates and D. Ratkowsky",2008,2,12,"2008-02-12","","Observation","HumanObservation","present","","","","true","true"
"325565","253bdaaf-d596-4ae2-ac09-00237437cd62","124314","NZOR-4-28535","Discinella terrestris","","Phaeohelotium baileyanum","species","","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Phaeohelotium","Phaeohelotium baileyanum","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Mt. Field, Falls Loop",-42.683323,146.7,"",-42.683323,146.7,NA,NA,"Australia","Tasmania","Derwent Valley (M)","","Tasmanian Southern Ranges",NA,NA,NA,NA,"","From the records of G. Gates and D. Ratkowsky",2005,11,22,"2005-11-22","","Observation","HumanObservation","present","","","","true","false"
"376272","5829b71e-caf8-4238-8b15-66d3d22c81b0","1049431","abcf520e-4be2-4bec-800f-7971df0adbe0","Podoserpula pusio","","Podoserpula pusio","species","","Fungi","Basidiomycota","Agaricomycetes","Boletales","Amylocorticiaceae","Podoserpula","Podoserpula pusio","","dr710","Tasmanian Natural Values Atlas","","","","","CC-BY","","","",-43.0999957428215,147.783336922101,"EPSG:4326",-43.0999957428215,147.783336922101,NA,100,"Australia","Tasmania","Tasman (M)","","Tasmanian South East",NA,NA,NA,NA,"","David Ratkowsky (2589),G Gates (7518)",2001,7,20,"2001-07-20","","Sighting","HumanObservation","present","","","","true","true"
"225580","62be5d24-cd48-436f-a427-36433d6657ae","L-121145","NZOR-4-25353","Phyllopsora","","Phyllopsora","genus","","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae","Phyllopsora","","","dr695","GBIF records","","","","","other","UPS","Botany","",NA,NA,"",NA,NA,NA,NA,"Australia","","","","",NA,NA,NA,NA,"","G. Einar Du Rietz",1927,8,3,"1927-08-03","","S","PreservedSpecimen","present","","","","true",""
"429331","4e7dfc43-98d8-4377-aa52-9c232af736c1","71808","urn:lsid:indexfungorum.org:names:17391","Cortinarius ""vinaceous""","","Cortinarius","genus","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Duckhole Lake",-43.366653,146.883332,"",-43.366653,146.883332,NA,NA,"Australia","Tasmania","Huon Valley (M)","","Tasmanian Southern Ranges",NA,NA,NA,NA,"","From the records of G. Gates and D. Ratkowsky",2003,5,15,"2003-05-15","","Observation","HumanObservation","present","","","","true","true"
"301100","34047a75-ad6d-465b-b1d3-5bde4199000e","CBG 9518754.1","NZOR-4-87284","Parmotrema A.Massal.","","Parmotrema","genus","","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Parmotrema","","","dr376","MEL AVH data","in5","Centre for Australian National Biodiversity Research","co12","Australian National Herbarium","CC-BY 3.0 (Au)","CANB","CBG","Bamboo Range (Great Dividing Range), 79 km SSE of Coen (15 km N of Musgrave).",-14.6333,143.45,"",-14.6333,143.45,NA,1000,"Australia","Queensland","Cook (S)","","Cape York Peninsula",270,270,NA,NA,"","Streimann, H.",1995,10,16,"1995-10-16","","PreservedSpecimen","PreservedSpecimen","present","","boxed","","true","true"
"329039","741925f0-8f4a-4640-836a-44ed1a6f65c1","HO 557292","NZOR-4-91655","Dibaeis  inundata Kantvilas","","Dibaeis","genus","","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Icmadophilaceae","Dibaeis","","","dr10574","HO AVH data","in25","Tasmanian Museum and Art Gallery","co60","Tasmanian Herbarium","CC-BY 3.0 (Au)","HO","HO","Cradle Mountain, Horse Track, in creek crossing above Scout Hut",-41.65,145.933333,"EPSG:4202",-41.648622,145.934374,NA,50,"Australia","Tasmania","Kentish (M)","","Tasmanian Central Highlands",NA,NA,NA,NA,"","Kantvilas, G.",2010,7,10,"2010-07-10","10 Jul 2010","PreservedSpecimen","PreservedSpecimen","present","","packet","","true","true"
"454383","1415a17c-658b-4aa6-b601-b7399fe545de","279176","e0b235f3-ea6d-4bf1-847c-ffaa66c69592","Embellisia tumida","","Embellisia tumida","species","","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Embellisia","Embellisia tumida","","dr695","GBIF records","","","","","other","CABI","IMI","",NA,NA,"",NA,NA,NA,NA,"Australia","","","","",NA,NA,NA,NA,"","",NA,NA,NA,"","","S","PreservedSpecimen","present","","","","true",""
"358555","7e94669a-59ff-4489-8a74-5f09e2349814","135512","NZOR-4-63662","Cordyceps robertsii","","Ophiocordyceps robertsii","species","","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Ophiocordyceps","Ophiocordyceps robertsii","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Walhalla Rail Trail",-37.96973,146.39558,"",-37.96973,146.39558,NA,50,"Australia","Victoria","Baw Baw (S)","","South Eastern Highlands",NA,NA,NA,NA,"","Fungimap VII Conference",2013,5,25,"2013-05-25","","Observation","HumanObservation","present","","","","true","true"
"150158","9c94315d-9291-4b08-af8b-f691e9a2210c","CANB 762695.1","NZOR-4-31449","Buellia macveanii Elix","","Buellia macveanii","species","","Fungi","Ascomycota","Lecanoromycetes","Teloschistales","Physciaceae","Buellia","Buellia macveanii","","dr376","MEL AVH data","in5","Centre for Australian National Biodiversity Research","co12","Australian National Herbarium","CC-BY 3.0 (Au)","CANB","CANB","Mt Kosciusko [Mt Kosciuszko], Snowy Mountains.",-36.4667,148.25,"",-36.4667,148.25,NA,5000,"Australia","New South Wales","Tumbarumba (A)","","Australian Alps",NA,NA,NA,NA,"","McVean, D.",1967,11,NA,"1967-11-01","","PreservedSpecimen","PreservedSpecimen","present","","vertical","","true","true"
"318429","31105c14-021b-403f-9164-fb834ca64f72","GR132100","NZOR-4-62183","Tubaria rufofulva","","Tubaria rufofulva","species","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Tubaria","Tubaria rufofulva","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Mt. Mangana, Bruny Island",-43.366659,147.283334,"EPSG:4326",-43.366659,147.283334,NA,NA,"Australia","Tasmania","Kingborough (M)","","Tasmanian South East",NA,NA,NA,NA,"","From the records of G. Gates and D. Ratkowsky",2004,2,5,"2004-02-05","Thu Feb 05 00:00:00 EST 2004","HumanObservation","HumanObservation","present","","","","true","true"
"377151","5753cfc5-d3dc-46ac-a027-9828070fa6bd","36557","NZOR-4-43554","Stereum hirsutum group","","Stereum hirsutum","species","Hairy Curtain Crust","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Stereum","Stereum hirsutum","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Perth. Paganoni Swamp & adjacent bushland",-32.4333333333333,115.766666666667,"EPSG:4326",-32.4333333333333,115.766666666667,NA,1000,"Australia","Western Australia","Rockingham (C)","","Swan Coastal Plain",NA,NA,NA,NA,"","Fungimap Recorder Number: 1129",2005,6,12,"2005-06-12","12/6/2005","HumanObservation","HumanObservation","present","","","","true","true"
"176307","b6aed563-6fd0-402d-92fd-194be8bf2cb6","HO 306344","NZOR-4-119093","Leioderma  pycnophorum Nyl.","","Leioderma pycnophorum","species","","Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Pannariaceae","Leioderma","Leioderma pycnophorum","","dr10574","HO AVH data","in25","Tasmanian Museum and Art Gallery","co60","Tasmanian Herbarium","CC-BY 3.0 (Au)","HO","HO","Bermuda Road",-43.066667,146.9,"",-43.066667,146.9,NA,10000,"Australia","Tasmania","Huon Valley (M)","","Tasmanian Southern Ranges",NA,NA,NA,NA,"","Kantvilas, G.",1982,7,3,"1982-07-03","3 Jul 1982","PreservedSpecimen","PreservedSpecimen","present","","packet","","true","true"
"235504","9c03f205-a79f-4373-b7cf-6097742e7f7d","PERTH 8859175","NZOR-4-86889","Cladonia krempelhuberi (Vain.) Zahlbr.","","Cladonia krempelhuberi","species","","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","Cladonia krempelhuberi","","dr376","MEL AVH data","in33","Western Australia, Department of Biodiversity, Conservation and Attractions","co75","Western Australian Herbarium","CC-BY 3.0 (Au)","PERTH","PERTH","Rail and Road Reserve, 15 km N of Pingelly",-32.42478333,117.03566667,"GDA94",-32.4247833291,117.03566667,NA,100,"Australia","Western Australia","Brookton (S)","","Avon Wheatbelt",NA,NA,NA,NA,"","Cranfield, R.J.",2009,6,14,"2009-06-14","14 Jun 2009","PreservedSpecimen","PreservedSpecimen","present","","","","true","true"
"341510","70264319-1d4e-4e58-86b9-19554c637aab","1000739","5148e48d-6d0b-4a90-8542-60403889522e","Hygrocybe graminicolor","","Hygrocybe graminicolor","species","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Hygrocybe","Hygrocybe graminicolor","","dr710","Tasmanian Natural Values Atlas","","","","","CC-BY","","","",-42.5166663008713,147.666666894955,"EPSG:4326",-42.5166663008713,147.666666894955,NA,100,"Australia","Tasmania","Glamorgan/Spring Bay (M)","","Tasmanian South East",NA,NA,NA,NA,"","David Ratkowsky (2589),G Gates (7518)",2002,7,19,"2002-07-19","","Sighting","HumanObservation","present","","","","true","true"
"348154","07042d16-6578-4875-99fd-47926faea3a6","HO 112319","NZOR-4-3489","Bunodophoron  scrobiculatum (C.Bab.) Wedin","","Bunodophoron scrobiculatum","species","","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Sphaerophoraceae","Bunodophoron","Bunodophoron scrobiculatum","","dr10574","HO AVH data","in25","Tasmanian Museum and Art Gallery","co60","Tasmanian Herbarium","CC-BY 3.0 (Au)","HO","HO","Mt Scorpio, Western Arthur Range",-43.166667,146.35,"",-43.166667,146.35,NA,1000,"Australia","Tasmania","Huon Valley (M)","","Tasmanian West",NA,NA,NA,NA,"","Kantvilas, G.",1984,12,16,"1984-12-16","16 Dec 1984","PreservedSpecimen","PreservedSpecimen","present","","packet","","true","true"
"397316","4a30ebac-7551-46b2-b590-922faa738e6c","BRI AQ0808561","155ad9e8-2bf6-4619-8bf2-6bc207892e99","Lycoperdon perlatum Pers.","","Lycoperdon perlatum","species","Common Puffball","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Lycoperdon","Lycoperdon perlatum","","dr2287","BRI AVH data","in42","Queensland Department of Environment and Science","co49","Queensland Herbarium","CC-BY 3.0 (Au)","BRI","Herbrecs","PEACHESTER - SUNSHINE COAST HINTERLAND.",-26.8583333333,152.875,"AGD66",-26.8568744969,152.8757905657,NA,1600,"Australia","Queensland","Sunshine Coast (R)","","South Eastern Queensland",NA,NA,NA,NA,"","Young, A.",NA,NA,NA,"","","PreservedSpecimen","PreservedSpecimen","present","","sheet","","true","true"
"33520","dc382a24-3d2d-406c-8a34-b327d3133f7c","","9e0fbb45-d2e9-4773-9ee2-a8b0c194c836","Psilocybe cubensis","","Psilocybe cubensis","species","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Psilocybe","Psilocybe cubensis","","dr1132","WildNet - Queensland Wildlife Data","","","","","CC-BY","Department of Science, Information Technology and Innovation","","MOUNT COTTON - NEAR BRISBANE.",-27.6234013111,153.226065304,"",-27.6234013111,153.226065304,NA,1600,"Australia","Queensland","Redland (C)","","South Eastern Queensland",NA,NA,NA,NA,"","",1963,1,17,"1963-01-17","","","","present","","","el882","true","true"
"272423","8d3f10fd-648d-45b2-912a-a449b6e5724d","1000245","1713bde4-c5de-4fe4-a441-0e91bc42d6e5","Hygrocybe aurantiopallens","","Hygrocybe aurantiopallens","species","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Hygrocybe","Hygrocybe aurantiopallens","","dr710","Tasmanian Natural Values Atlas","","","","","CC-BY","","","",-42.0666694416557,146.149996602683,"EPSG:4326",-42.0666694416557,146.149996602683,NA,100,"Australia","Tasmania","Central Highlands (M)","","Tasmanian Central Highlands",NA,NA,NA,NA,"","David Ratkowsky (2589),G Gates (7518)",2000,6,7,"2000-06-07","","Sighting","HumanObservation","present","","","","true","true"
"138084","9aa4a284-4a3b-4cb8-9cfc-d79e4ec7abc3","CBG 9507757.1","NZOR-4-5561","Ramalina inflata subsp. australis G.N.Stevens","","Ramalina inflata","species","","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae","Ramalina","Ramalina inflata","","dr376","MEL AVH data","in5","Centre for Australian National Biodiversity Research","co12","Australian National Herbarium","CC-BY 3.0 (Au)","CANB","CBG","8 km N of Marion Bay along the Corny Point road, Yorke Peninsula.",-35.1667,136.95,"",-35.1667,136.95,NA,1000,"Australia","South Australia","Yorke Peninsula (DC)","","Eyre Yorke Block",NA,NA,NA,NA,"","Elix, J.A.",1979,9,2,"1979-09-02","","PreservedSpecimen","PreservedSpecimen","present","","vertical","","true","true"
"425445","6b70c99b-c203-442b-9c8e-277aa8cbbe4b","MEL 2350516A","urn:lsid:indexfungorum.org:names:17391","Cortinarius","","Cortinarius","genus","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","","","dr376","MEL AVH data","in21","Royal Botanic Gardens Victoria","co55","National Herbarium of Victoria","CC-BY 3.0 (Au)","MEL","MEL","[?Mount] Wedge Forest Reserve Trail.",-42.8166666667,146.2666666667,"GDA94",-42.8166666658,146.2666666667,NA,10000,"Australia","Tasmania","Derwent Valley (M)","","Tasmanian West",NA,NA,NA,NA,"","Gates, G.M. | Ratkowsky, D.A.",2000,4,29,"2000-04-29","","PreservedSpecimen","PreservedSpecimen","present","","packet","","true","true"
"25358","ebc830aa-c0d3-4b49-8d55-2115fd7624a6","GR138091","urn:lsid:indexfungorum.org:names:2619","Lachnum lachnoderma","","Lachnum","genus","","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Lachnum","","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Myrtle Gully",-42.899987,147.250003,"EPSG:4326",-42.899987,147.250003,NA,NA,"Australia","Tasmania","Hobart (C)","","Tasmanian South East",NA,NA,NA,NA,"","From the records of G. Gates and D. Ratkowsky",2004,11,16,"2004-11-16","Tue Nov 16 00:00:00 EST 2004","HumanObservation","HumanObservation","present","","","","true","true"
"45755","e7c2c5d5-bd7f-4eb8-a93e-313f271794cf","99892","679448b9-f8ef-40b5-8b06-191f21199bc9","Amanita effusa","","Amanita effusa","species","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Amanita effusa","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Mt. Field, Falls Loop",-42.683323,146.7,"",-42.683323,146.7,NA,NA,"Australia","Tasmania","Derwent Valley (M)","","Tasmanian Southern Ranges",NA,NA,NA,NA,"","From the records of G. Gates and D. Ratkowsky",2002,3,16,"2002-03-16","","Observation","HumanObservation","present","","","","true","true"
"168619","ba999d86-b30d-4f24-8403-42871f3ef846","MEL 2304261A","9022fae4-a498-4130-80d7-e153644d06b3","Trametes hirsuta","","Trametes hirsuta","species","Hairy Bracket","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Trametes","Trametes hirsuta","","dr376","MEL AVH data","in21","Royal Botanic Gardens Victoria","co55","National Herbarium of Victoria","CC-BY 3.0 (Au)","MEL","MEL","Murwillumbah.",-28.3167,153.4,"",-28.3167,153.4,NA,10000,"Australia","New South Wales","Tweed (A)","","South Eastern Queensland",NA,NA,NA,NA,"","Cann, H.J.",1961,7,24,"1961-07-24","","PreservedSpecimen","PreservedSpecimen","present","","packet","","true","true"
"134739","bce6fea5-9016-4b2c-8f2f-73fe9db64d8f","29898","NZOR-4-3477","Phlebopus marginatus","","Phlebopus marginatus","species","","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletinellaceae","Phlebopus","Phlebopus marginatus","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Royal National Park: Bola Creek",-34.1666666666667,151.083333333333,"EPSG:4326",-34.1666666666667,151.083333333333,NA,1000,"Australia","New South Wales","","Central Eastern Shelf Province","",NA,NA,NA,NA,"","Fungimap Recorder Number: 297",2002,3,17,"2002-03-17","17/3/2002","HumanObservation","HumanObservation","present","","","","true","false"
"20694","f34d0859-e08c-4cc6-aa6a-215ddebb8ef8","8187","30b71fac-0816-49e3-8d85-c28786817067","Schizophyllum commune","","Schizophyllum commune","species","Split Gill","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Schizophyllaceae","Schizophyllum","Schizophyllum commune","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Adelaide: Tea Tree Gully Scrub between Bowen Rd & North-east Rd, portion C",-34.82,138.72,"EPSG:4326",-34.82,138.72,NA,NA,"Australia","South Australia","Tea Tree Gully (C)","","Flinders Lofty Block",NA,NA,NA,NA,"","Fungimap Recorder Number: 49",1980,8,8,"1980-08-08","8/8/1980","HumanObservation","HumanObservation","present","","","","true","true"
"199524","c6ef3b16-870e-434f-ad13-ce2e33c9658d","48853","2ec3db20-d8b2-4ea8-b0e2-b38e7b09507f","Hericium coralloides","","Hericium coralloides","species","Coral Tooth","Fungi","Basidiomycota","Agaricomycetes","Russulales","Hericiaceae","Hericium","Hericium coralloides","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","West of Liffey, Liffey Falls Track.",-41.7,146.766666666667,"EPSG:4326",-41.7,146.766666666667,NA,10000,"Australia","Tasmania","Meander Valley (M)","","Tasmanian Northern Slopes",NA,NA,NA,NA,"","Fungimap Recorder Number: 1429",2007,4,NA,"2007-04-01","0/4/2007","HumanObservation","HumanObservation","present","","","","true","true"
"434556","294e2733-4581-41f8-b063-68da365386b6","97400","e25fa794-49d8-40c4-8d54-45e027f810f7","Postia dissecta","","Postia dissecta","species","","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Fomitopsidaceae","Postia","Postia dissecta","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Kermandie Falls",-43.199986,146.866676,"",-43.199986,146.866676,NA,NA,"Australia","Tasmania","Huon Valley (M)","","Tasmanian Southern Ranges",NA,NA,NA,NA,"","From the records of G. Gates and D. Ratkowsky",NA,NA,NA,"","","Observation","HumanObservation","present","","","","true","true"
"343863","715cedde-3cba-478b-995b-a537cbe13cba","131204","NZOR-4-98008","Entoloma readiae var. readiae","","Entoloma readiae G. Stev. var. readiae","variety","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Entoloma readiae","Entoloma readiae G. Stev. var. readiae","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Mt. Field, Falls Loop",-42.683323,146.7,"",-42.683323,146.7,NA,NA,"Australia","Tasmania","Derwent Valley (M)","","Tasmanian Southern Ranges",NA,NA,NA,NA,"","From the records of G. Gates and D. Ratkowsky",NA,NA,NA,"","","Observation","HumanObservation","present","","","","true","true"
"473137","265cfb53-dcd3-4dd5-ba3a-a6da6de1bddf","PERTH 8481008","NZOR-4-68095","Austroparmelina pruinata (Müll.Arg.) A.Crespo, Divakar & Elix","","Austroparmelina pruinata","species","","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Austroparmelina","Austroparmelina pruinata","","dr376","MEL AVH data","in33","Western Australia, Department of Biodiversity, Conservation and Attractions","co75","Western Australian Herbarium","CC-BY 3.0 (Au)","PERTH","PERTH","Intersection of Marwick and Quairading Roads, 9 km SE of York",-31.883333,116.85,"GDA94",-31.8833329992,116.85,NA,100,"Australia","Western Australia","York (S)","","Avon Wheatbelt",NA,NA,NA,NA,"","Cranfield, R.J.",2009,5,30,"2009-05-30","30 May 2009","PreservedSpecimen","PreservedSpecimen","present","","","","true","true"
"361417","07600e61-76b7-49f1-9e02-ac21adc16d86","PERTH 7881630","NZOR-4-49123","Physcia jackii Moberg","","Physcia jackii","species","","Fungi","Ascomycota","Lecanoromycetes","Teloschistales","Physciaceae","Physcia","Physcia jackii","","dr376","MEL AVH data","in33","Western Australia, Department of Biodiversity, Conservation and Attractions","co75","Western Australian Herbarium","CC-BY 3.0 (Au)","PERTH","PERTH","Narrogin",-32.93333333,117.18333333,"GDA94",-32.9333333291,117.18333333,NA,10000,"Australia","Western Australia","Narrogin (T)","","Avon Wheatbelt",NA,NA,NA,NA,"","Gardner, C.A.",1927,11,11,"1927-11-11","11 Nov 1927","PreservedSpecimen","PreservedSpecimen","present","","","","true","true"
"291631","84037b80-aa9c-4a89-a930-cf2b4f7aaecf","1022261","06536112-2e62-4481-b596-c1f173f2f803","Panellus stipticus","","Panellus stipticus","species","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Panellus","Panellus stipticus","","dr710","Tasmanian Natural Values Atlas","","","","","CC-BY","","","",-41.1000036660769,145.166672374579,"EPSG:4326",-41.1000036660769,145.166672374579,NA,100,"Australia","Tasmania","Circular Head (M)","","King",NA,NA,NA,NA,"","David Ratkowsky (2589),G Gates (7518)",2002,6,13,"2002-06-13","","Sighting","HumanObservation","present","","","","true","true"
"86473","c1c065f6-4c70-489e-b285-1f4a2aec15a2","CBG 9314283.1","NZOR-4-87284","Parmotrema A.Massal.","","Parmotrema","genus","","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Parmotrema","","","dr376","MEL AVH data","in5","Centre for Australian National Biodiversity Research","co12","Australian National Herbarium","CC-BY 3.0 (Au)","CANB","CBG","Pine Mountain, 24 km NE of Rockhampton.",-23.1833,150.6167,"",-23.1833,150.6167,NA,1000,"Australia","Queensland","Rockhampton (R)","","Brigalow Belt North",200,200,NA,NA,"","Streimann, H.",1993,8,26,"1993-08-26","","PreservedSpecimen","PreservedSpecimen","present","","vertical","","true","true"
"36807","f0547032-41eb-4fad-9dfd-39e6f93ffccc","68161","urn:lsid:indexfungorum.org:names:17886","Laccaria sp.","","Laccaria","genus","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria","","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Mt. Field, Falls Loop",-42.683323,146.7,"",-42.683323,146.7,NA,NA,"Australia","Tasmania","Derwent Valley (M)","","Tasmanian Southern Ranges",NA,NA,NA,NA,"","From the records of G. Gates and D. Ratkowsky",NA,NA,NA,"","","Observation","HumanObservation","present","","","","true","true"
"192537","bf9b858d-804c-407f-a315-5c357a7c41ca","PDD 68260","6076e876-92d3-41f6-ad40-0b03c72134f8","Coccomyces radiatus Sherwood 1980","","Coccomyces radiatus","species","","Fungi","Ascomycota","Leotiomycetes","Rhytismatales","Rhytismataceae","Coccomyces","Coccomyces radiatus","","dr2153","New Zealand Virtual Herbarium","in92","Landcare Research NZ Ltd","co215","New Zealand Fungal & Plant Disease Collection","CC-BY","PDD","PDD","",NA,NA,"",NA,NA,NA,NA,"Australia","","","","",NA,NA,NA,NA,"","Johnston, PR;",1996,5,26,"1996-05-26","1996/05/26","PreservedSpecimen","PreservedSpecimen","present","","","","true",""
"34462","e6f7bc9e-9827-435e-bb0b-8b5468d32d36","CANB 775916.1","NZOR-4-130030","Graphidaceae Dumort.","","Graphidaceae","family","","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Graphidaceae","","","","dr376","MEL AVH data","in5","Centre for Australian National Biodiversity Research","co12","Australian National Herbarium","CC-BY 3.0 (Au)","CANB","CANB","Cooya Beach, beach and boat ramp.",-16.45,145.4083,"",-16.45,145.4083,NA,1000,"Australia","Queensland","Cairns (R)","","Wet Tropics",NA,NA,NA,NA,"","Ewers, W.H.",1991,9,28,"1991-09-28","","PreservedSpecimen","PreservedSpecimen","present","","vertical","","true","true"
"385478","4e59dd42-07b7-43e7-b7ce-e58bf639536e","48037","52e82fa6-2185-41a3-9bf5-6fec56d7c68f","Nidula emodensis group","","Nidula emodensis","species","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Nidula","Nidula emodensis","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Blackwood. Jack Cann Reserve, Simmons Reef Road, Pines area around upper car park",-37.4780555555556,144.291111111111,"EPSG:4326",-37.4780555555556,144.291111111111,NA,1000,"Australia","Victoria","Moorabool (S)","","Victorian Midlands",NA,NA,NA,NA,"","Fungimap Recorder Number: 178",2010,7,4,"2010-07-04","4/7/2010","HumanObservation","HumanObservation","present","","","","true","true"
