"","Record.ID","Catalogue.Number","Taxon.Concept.GUID","Scientific.Name...original","Vernacular.name...original","Scientific.Name","Taxon.Rank","Vernacular.name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Data.Resource.ID","Data.Resource.Name","Institution.ID","Institution","Collection.ID","Collection","Licence","Institution.Code","Collection.Code","Locality","Latitude...original","Longitude...original","Geodetic.datum...original","Latitude","Longitude","Coordinate.Precision","Coordinate.Uncertainty.in.Metres","Country...parsed","State...parsed","Local.Government.Areas","IMCRA.4.Regions","IBRA.7.Regions","Maximum.elevation.in.meters","Minimum.elevation.in.meters","Minimum.depth.in.meters","Maximum.depth.in.meters","Individual.count","Collector","Year","Month","Day","Event.Date...parsed","Verbatim.event.date","Basis.Of.Record...original","Basis.Of.Record","Occurrence.status","Sex","Preparations","Outlier.for.layer","Taxonomic.Quality","Location.Quality"
"152893","93b64006-0c27-4988-8bff-c3f74d329413","AD-C 97505100","NZOR-4-112044","Cladonia cervicornis ssp. verticillata (Hoffm.) Ahti","","Cladonia cervicornis subsp. verticillata (Hoffm.) Ahti ((Hoffm.) Schaer.)","subspecies","","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","Cladonia cervicornis","Cladonia cervicornis subsp. verticillata (Hoffm.) Ahti ((Hoffm.) Schaer.)","dr376","MEL AVH data","in41","Department of Environment, Water and Natural Resources","co48","State Herbarium of South Australia","CC-BY 3.0 (Au)","AD","AD-C","Mt Scott",-36.81,140.093056,"AGD84",-36.8087247932,140.0941635714,NA,10000,"Australia","South Australia","Kingston (DC)","","Naracoorte Coastal Plain",NA,NA,NA,NA,"","Roach, T.",1972,8,28,"1972-08-28","28 Aug 1972","PreservedSpecimen","PreservedSpecimen","present","","","","true","true"
"185883","84d4fdab-863c-4731-b60a-aac20518d08e","1008847","urn:lsid:indexfungorum.org:names:2619","Lachnum lachnoderma","","Lachnum","genus","","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Lachnum","","","dr710","Tasmanian Natural Values Atlas","","","","","CC-BY","","","",-42.9166652938256,147.250004786001,"EPSG:4326",-42.9166652938256,147.250004786001,NA,100,"Australia","Tasmania","Hobart (C)","","Tasmanian South East",NA,NA,NA,NA,"","David Ratkowsky (2589),G Gates (7518)",1999,11,29,"1999-11-29","","Sighting","HumanObservation","present","","","","true","true"
"107031","e0c37fb5-d172-4769-ad49-994b3a00bee5","100419","9db938d2-1baa-4278-93ea-b542ec1eb72a","Cheimonophyllum candidissimum","","Cheimonophyllum candidissimum","species","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cyphellaceae","Cheimonophyllum","Cheimonophyllum candidissimum","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Timbs Track",-42.733328,146.416667,"",-42.733328,146.416667,NA,NA,"Australia","Tasmania","Derwent Valley (M)","","Tasmanian Southern Ranges",NA,NA,NA,NA,"","From the records of G. Gates and D. Ratkowsky",2002,4,18,"2002-04-18","","Observation","HumanObservation","present","","","","true","true"
"37750","e9b672c0-74f9-4720-8bc5-8f298d32fa8c","MEL 0034141A","NZOR-4-118","Xanthoparmelia exillima","","Xanthoparmelia exillima","species","","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Xanthoparmelia","Xanthoparmelia exillima","","dr376","MEL AVH data","in21","Royal Botanic Gardens Victoria","co55","National Herbarium of Victoria","CC-BY 3.0 (Au)","MEL","MEL","Northern side of Moonpah [=Moonpar] Rd, 3mls from Dorrigo - Tyringham Road.",-30.2333,152.6333,"",-30.2333,152.6333,NA,10000,"Australia","New South Wales","Clarence Valley (A)","","NSW North Coast",670,670,NA,NA,"","Kurokawa, S.",1965,10,30,"1965-10-30","","PreservedSpecimen","PreservedSpecimen","present","","packet","","true","true"
"323553","1c0edf74-30bd-4266-b555-ee6a5d6a994e","CANB 775465.1","NZOR-4-71215","Pseudocyphellaria Vain.","","Pseudocyphellaria","genus","","Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Lobariaceae","Pseudocyphellaria","","","dr376","MEL AVH data","in5","Centre for Australian National Biodiversity Research","co12","Australian National Herbarium","CC-BY 3.0 (Au)","CANB","CANB","Otways, Todds Corner, Mt Sabine Road.",-38.5167,143.85,"",-38.5167,143.85,NA,1000,"Australia","Victoria","Surf Coast (S)","","South Eastern Highlands",NA,NA,NA,NA,"","Ewers, W.H.",1990,12,14,"1990-12-14","","PreservedSpecimen","PreservedSpecimen","present","","vertical","","true","true"
"194290","7c735d0c-088e-4cbf-9a4e-9ceac8a3e8c6","CANB 627298.1","NZOR-4-89222","Paraporpidia Rambold & Pietschm.","","Paraporpidia","genus","","Fungi","Ascomycota","Lecanoromycetes","Lecideales","Porpidiaceae","Paraporpidia","","","dr376","MEL AVH data","in5","Centre for Australian National Biodiversity Research","co12","Australian National Herbarium","CC-BY 3.0 (Au)","CANB","CANB","Brigadoon Farm, Bunga, 18 km south of Bermagui.",-36.5667,150.05,"",-36.5667,150.05,NA,1000,"Australia","New South Wales","Bega Valley (A)","","South East Corner",30,30,NA,NA,"","Elix, J.A.",1989,12,2,"1989-12-02","","PreservedSpecimen","PreservedSpecimen","present","","vertical","","true","true"
"341009","9933fdcf-6c41-4bf6-b377-9a50cf9ccdd4","MEL 2142450A","df329568-32af-48ce-9e0c-4a8fee5cdc22","Datronia brunneoleuca","","Datronia brunneoleuca","species","","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Datronia","Datronia brunneoleuca","","dr376","MEL AVH data","in21","Royal Botanic Gardens Victoria","co55","National Herbarium of Victoria","CC-BY 3.0 (Au)","MEL","MEL","Cascade.",-30.2167,152.7667,"",-30.2167,152.7667,NA,10000,"Australia","New South Wales","Bellingen (A)","","NSW North Coast",NA,NA,NA,NA,"","Cann, H.J.",1957,4,16,"1957-04-16","","PreservedSpecimen","PreservedSpecimen","present","","packet","el887","true","true"
"319938","18d22971-47c5-4ea8-92b6-28b60dcccb39","CBG 9612412.1","NZOR-4-110565","Bacidia De Not.","","Bacidia","genus","","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae","Bacidia","","","dr376","MEL AVH data","in5","Centre for Australian National Biodiversity Research","co12","Australian National Herbarium","CC-BY 3.0 (Au)","CANB","CBG","Isla Gorge National Park, 27 km NNE of Taroom.",-25.1667,149.9833,"",-25.1667,149.9833,NA,1000,"Australia","Queensland","Banana (S)","","Brigalow Belt South",220,220,NA,NA,"","Elix, J.A.",1993,8,31,"1993-08-31","","PreservedSpecimen","PreservedSpecimen","present","","vertical","","true","true"
"465878","4f50ec49-8f48-4a92-9c3f-b68dca58bff2","CANB 614785.1","NZOR-4-132043","Baeomyces heteromorphus Nyl.","","Baeomyces heteromorphus","species","","Fungi","Ascomycota","Lecanoromycetes","Baeomycetales","Baeomycetaceae","Baeomyces","Baeomyces heteromorphus","","dr376","MEL AVH data","in5","Centre for Australian National Biodiversity Research","co12","Australian National Herbarium","CC-BY 3.0 (Au)","CANB","CANB","Tarra National Park, Tarra River Falls, 29 km S of Traralgon.",-38.4667,146.5333,"",-38.4667,146.5333,NA,1000,"Australia","Victoria","Wellington (S)","","South Eastern Highlands",350,350,NA,NA,"","Elix, J.A.",1993,4,13,"1993-04-13","","PreservedSpecimen","PreservedSpecimen","present","","vertical","","true","true"
"272256","8e231d80-af89-46e4-91df-4a0c79d372d2","MELU F121651a","NZOR-4-47954","Chlorencoelia versiformis (Pers.) J.R. Dixon","","Chlorencoelia versiformis","species","","Fungi","Ascomycota","Leotiomycetes","Helotiales","","Chlorencoelia","Chlorencoelia versiformis","","dr376","MEL AVH data","in26","The University of Melbourne","co64","The University of Melbourne Herbarium","CC-BY 3.0 (Au)","MELU","MELU","Cement Creek near Warburton",-37.7166666667,145.75,"WGS84",-37.7166666667,145.75,NA,10000,"Australia","Victoria","Yarra Ranges (S)","","South Eastern Highlands",NA,NA,NA,NA,"","Beaton, K.",1977,7,10,"1977-07-10","","PreservedSpecimen","PreservedSpecimen","present","","packet","","true","true"
